dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,1885,499,4,1.0000,0,0.9841,0.0123,0.9800,0.5054,0.7602,0.7876,0.5406,0.5258,0.5054,0.7804,23.3914,2.0000,1.5915,0.0106,0.8122,0.7660,0.9798,0.9841,0.0106,0.1514,0.4243,0.9820
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1114,499,4,1.0000,0,0.8034,0.0013,0.8834,0.5000,0.8496,0.7426,0.6576,0.7414,0.5011,0.8561,19.9548,11.6603,19.6589,0.0000,0.6257,0.8007,0.8833,0.8034,0.0018,0.0924,0.2480,0.9964
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,1658,500,4,1.0000,0,0.9367,0.0035,0.8731,0.5000,0.8815,0.8658,0.7527,0.6390,0.5003,0.8763,21.9826,12.6910,6.3329,0.0000,0.7624,0.7805,0.8733,0.9367,0.0006,0.0603,0.4077,0.9879
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1163,496,4,1.0000,0,0.8435,0.2102,0.9800,0.5913,0.7837,0.7463,0.5371,0.7590,0.5737,0.8073,15.0313,2.0000,15.6492,0.1651,0.8083,0.8495,0.9802,0.8435,0.1298,0.0619,0.5310,0.5125
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2375,499,4,1.0000,0,0.9865,0.2020,0.9179,0.5492,0.8988,0.8571,0.9019,0.6832,0.5492,0.8967,20.1890,8.2150,1.3474,0.1284,0.9432,0.7983,0.9179,0.9865,0.1284,0.0620,0.4689,0.5040
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,1885,499,4,1.0000,0,0.9841,0.1645,0.8921,0.5491,0.7917,0.7885,0.7501,0.5427,0.5509,0.7859,16.5610,10.7911,1.5915,0.0966,0.8408,0.8345,0.8923,0.9841,0.1003,0.0621,0.4689,0.6085
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1114,499,4,1.0000,0,0.8034,0.0893,0.9800,0.5168,0.8719,0.7049,0.5360,0.7698,0.5006,0.8698,13.6704,2.0000,19.6589,0.0269,0.6616,0.8636,0.9803,0.8034,0.0009,0.1006,0.9022,0.7316
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,1658,500,4,1.0000,0,0.9367,0.1586,0.8975,0.5489,0.8969,0.8999,0.8367,0.7560,0.5489,0.8973,15.5729,10.2454,6.3329,0.0917,0.8293,0.8444,0.8975,0.9367,0.0917,0.0621,0.4689,0.6074
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1163,496,4,1.0000,0,0.8435,0.5074,0.8632,0.7824,0.8070,0.7383,0.6958,0.7199,0.7824,0.7906,16.9937,13.6776,15.6492,0.5589,0.6552,0.8306,0.8633,0.8435,0.5589,0.0271,0.4816,0.3663
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2375,499,4,1.0000,0,0.9865,0.8164,0.9800,0.9227,0.8789,0.8653,0.7275,0.6674,0.9227,0.8795,24.8110,2.0000,1.3474,0.8964,0.9352,0.7520,0.9802,0.9865,0.8964,0.0269,0.4822,0.5718
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,1885,499,4,1.0000,0,0.9841,0.7923,0.9700,0.8004,0.8211,0.8105,0.6373,0.5427,0.8014,0.7719,22.2662,2.9966,1.5915,0.8578,0.8987,0.7777,0.9703,0.9841,0.8599,0.0292,0.4515,0.5889
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1114,499,4,1.0000,0,0.8034,0.3525,0.7688,0.7020,0.7226,0.7249,0.7628,0.7357,0.7099,0.8133,19.1075,23.1163,19.6589,0.3429,0.3896,0.8088,0.7693,0.8034,0.3555,0.0295,0.4833,0.3483
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,1658,500,4,1.0000,0,0.9367,0.7172,0.9462,0.8396,0.8279,0.8357,0.6950,0.7255,0.8419,0.8401,19.9480,5.3805,6.3329,0.7696,0.8239,0.8004,0.9463,0.9367,0.7738,0.0274,0.4515,0.5706
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1163,496,4,1.0000,0,0.8435,0.0341,0.9318,0.4786,0.6748,0.6363,0.5672,0.6255,0.4791,0.6787,17.1359,6.8246,15.6492,0.0353,0.6629,0.8289,0.9321,0.8435,0.0361,0.3186,0.2785,0.9940
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2375,499,4,1.0000,0,0.9865,0.0314,0.8861,0.4368,0.6707,0.6985,0.6641,0.6040,0.4345,0.7263,23.3505,11.3927,1.3474,0.0316,0.8994,0.7667,0.8863,0.9865,0.0269,0.1736,0.8179,0.9899
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,1885,499,4,1.0000,0,0.9841,0.0620,0.9800,0.4638,0.6780,0.6650,0.5406,0.5427,0.4627,0.6555,20.8399,2.0000,1.5915,0.0621,0.8504,0.7915,0.9798,0.9841,0.0599,0.1170,0.6207,0.9862
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1114,499,4,1.0000,0,0.8034,0.0140,0.9050,0.4999,0.6831,0.7109,0.6141,0.7016,0.4993,0.7194,26.4228,9.5019,19.6589,0.0135,0.5180,0.7361,0.9048,0.8034,0.0126,0.3808,0.6904,0.9955
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,1658,500,4,1.0000,0,0.9367,0.0233,0.8633,0.4970,0.7369,0.7315,0.7014,0.6492,0.4954,0.7602,20.4681,13.6743,6.3329,0.0229,0.8438,0.7955,0.8631,0.9367,0.0199,0.1728,0.7656,0.9903
