dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,2716,500,4,1.0000,0,0.5567,0.0101,0.7468,0.5068,0.6409,0.6349,0.6309,0.6352,0.5068,0.6326,44.3916,25.3215,44.3299,0.0092,0.5854,0.5563,0.7471,0.5567,0.0092,0.1514,0.4243,0.9853
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,2192,500,4,1.0000,0,0.1533,0.0009,0.2951,0.5000,0.7070,0.6706,0.7015,0.6324,0.5012,0.7005,39.0122,70.4856,84.6715,0.0000,0.4649,0.6099,0.2956,0.1537,0.0009,0.0924,0.2480,0.9977
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,2565,500,4,1.0000,0,0.4717,0.0032,0.2959,0.5000,0.6591,0.6618,0.6248,0.6515,0.5010,0.6545,43.6503,70.4102,52.8265,0.0000,0.5567,0.5637,0.2963,0.4721,0.0039,0.0582,0.1936,0.9891
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,2530,500,4,1.0000,0,0.2091,0.1850,0.5870,0.5644,0.6506,0.6483,0.6330,0.5875,0.5425,0.6476,59.3718,41.2999,79.0909,0.1344,0.4613,0.4063,0.5874,0.2095,0.1067,0.0619,0.5310,0.5664
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,3224,500,4,1.0000,0,0.5416,0.1939,0.4244,0.5034,0.5226,0.5248,0.5185,0.5221,0.5034,0.5145,61.6915,57.5636,45.8437,0.1241,0.5211,0.3834,0.4246,0.5416,0.1241,0.0620,0.4689,0.5220
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,2716,500,4,1.0000,0,0.5567,0.1512,0.3445,0.5147,0.5326,0.5297,0.5462,0.5300,0.5157,0.5308,45.9614,65.5533,44.3299,0.0828,0.5247,0.5405,0.3446,0.5567,0.0873,0.0621,0.4689,0.6359
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2192,500,4,1.0000,0,0.1533,0.0810,0.6384,0.5098,0.5519,0.5763,0.5780,0.5410,0.4997,0.5619,54.9162,36.1615,84.6715,0.0192,0.2454,0.4512,0.6387,0.1537,0.0005,0.1006,0.9022,0.7778
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,2565,500,4,1.0000,0,0.4717,0.1440,0.3460,0.5232,0.5462,0.5459,0.5650,0.5600,0.5232,0.5625,39.7486,65.4013,52.8265,0.0788,0.5942,0.6027,0.3462,0.4721,0.0788,0.0621,0.4689,0.6444
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,no,2371,500,0,1.0000,0,0.2434,0.3622,,0.7222,,,,0.6848,0.7198,0.7403,,,75.6643,0.3501,,,,0.2438,0.3311,0.0308,0.5152,0.3049
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,no,2286,498,0,1.0000,0,0.2030,0.1674,,0.6191,,,,0.6712,0.6114,0.7414,,,79.7025,0.1312,,,,0.2034,0.1177,0.0311,0.5154,0.6199
