dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1787,497,4,1.0000,0,0.1058,0.0006,0.2693,0.5000,0.7262,0.6990,0.7338,0.6269,0.4997,0.7162,41.4434,73.0673,89.4236,0.0000,0.4102,0.5859,0.2697,0.1063,0.0006,0.2016,0.2200,0.9989
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,2248,493,4,1.0000,0,0.4800,0.0034,0.2867,0.5000,0.6791,0.6802,0.6305,0.6699,0.5011,0.6795,43.8820,71.3307,52.0018,0.0000,0.5774,0.5614,0.2869,0.4804,0.0044,0.0582,0.1936,0.9884
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1878,472,4,1.0000,0,0.1821,0.1583,0.5302,0.5649,0.6686,0.6683,0.6602,0.5939,0.5453,0.6672,60.9192,46.9798,81.7891,0.1102,0.4026,0.3914,0.5304,0.1826,0.0868,0.0619,0.5310,0.6198
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2626,499,4,1.0000,0,0.5613,0.1810,0.5032,0.5070,0.5306,0.5326,0.5293,0.5306,0.5070,0.5205,64.0757,49.6816,43.8690,0.1085,0.4962,0.3595,0.5034,0.5613,0.1085,0.0620,0.4689,0.5419
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,2282,490,4,1.0000,0,0.5710,0.1474,0.3596,0.5178,0.5455,0.5453,0.5422,0.5394,0.5200,0.5436,60.9439,64.0376,42.9010,0.0776,0.3931,0.3909,0.3598,0.5710,0.0811,0.0621,0.4689,0.6442
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1787,497,4,1.0000,0,0.1058,0.0769,0.3786,0.5054,0.5500,0.5831,0.5603,0.5263,0.4997,0.5986,57.2393,62.1395,89.4236,0.0168,0.2334,0.4281,0.3788,0.1063,0.0006,0.1006,0.9022,0.7902
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,2248,493,4,1.0000,0,0.4800,0.1428,0.3621,0.5258,0.5504,0.5541,0.5702,0.5638,0.5258,0.5740,41.8757,63.7948,52.0018,0.0778,0.5890,0.5814,0.3625,0.4804,0.0778,0.0621,0.4689,0.6499
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1878,472,4,1.0000,0,0.1821,0.3507,0.2448,0.8099,0.7710,0.7875,0.7828,0.7566,0.8060,0.8109,49.9720,75.5218,81.7891,0.3440,0.2263,0.5005,0.2449,0.1826,0.3621,0.0260,0.4504,0.4404
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2626,499,4,1.0000,0,0.5613,0.6963,0.6078,0.7681,0.8141,0.7671,0.8299,0.8260,0.7713,0.8272,60.5735,39.2184,43.8690,0.7471,0.6729,0.3945,0.6081,0.5613,0.7403,0.0264,0.5119,0.5708
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,2282,490,4,1.0000,0,0.5710,0.6546,0.5299,0.8316,0.8684,0.8102,0.8641,0.8721,0.8201,0.8683,59.4917,47.0082,42.9010,0.6902,0.6087,0.4053,0.5302,0.5710,0.7016,0.0268,0.4206,0.5876
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1787,497,4,1.0000,0,0.1058,0.2160,0.0355,0.8085,0.6711,0.7840,0.6072,0.7423,0.8038,0.8354,51.3394,96.4477,89.4236,0.1679,0.0644,0.4868,0.0358,0.1063,0.1656,0.0284,0.5136,0.5327
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,2248,493,4,1.0000,0,0.4800,0.5764,0.4560,0.8520,0.8754,0.8609,0.8730,0.8739,0.8513,0.8715,56.7479,54.3953,52.0018,0.6014,0.5160,0.4328,0.4564,0.4804,0.6059,0.0274,0.4515,0.5850
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1878,472,4,1.0000,0,0.1821,0.0203,0.3756,0.5224,0.6454,0.6377,0.6456,0.6082,0.5224,0.6452,42.1559,62.4392,81.7891,0.0218,0.3908,0.5788,0.3759,0.1826,0.0218,0.3520,0.3240,0.9952
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2626,499,4,1.0000,0,0.5613,0.0278,0.3580,0.5081,0.6397,0.6187,0.5957,0.6343,0.5059,0.6382,48.7736,64.1974,43.8690,0.0282,0.6603,0.5126,0.3583,0.5613,0.0240,0.1736,0.8179,0.9909
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,2282,490,4,1.0000,0,0.5710,0.0549,0.9800,0.5358,0.6761,0.6689,0.5163,0.6699,0.5343,0.6752,47.4177,2.0000,42.9010,0.0552,0.6209,0.5259,0.9798,0.5710,0.0535,0.1170,0.6207,0.9869
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1787,497,4,1.0000,0,0.1058,0.0057,0.2974,0.5031,0.6650,0.6523,0.6797,0.6181,0.5031,0.6464,41.5431,70.2559,89.4236,0.0050,0.3609,0.5848,0.2977,0.1063,0.0050,0.4120,0.6748,0.9978
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,2248,493,4,1.0000,0,0.4800,0.0194,0.2776,0.5066,0.6994,0.6851,0.6257,0.6797,0.5042,0.6929,47.2647,72.2355,52.0018,0.0191,0.6165,0.5276,0.2780,0.4804,0.0169,0.1728,0.7656,0.9924
