construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation,alfworld,gemma-3-4b-it,gemma-3-4b-it,0,47,0.6465,0.3813,0.2652,0.0366,0.5146
violation,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,41,0.6222,0.9667,-0.3444,-0.6582,0.0000
violation,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,41,0.6222,0.9333,-0.3111,-0.6500,0.0000
violation,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,41,0.6222,0.8000,-0.1778,-0.4040,0.0000
violation,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,41,0.6222,0.9278,-0.3056,-0.5529,0.0000
violation,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,41,0.6222,0.9500,-0.3278,-0.7217,0.0256
outcome,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,100,0.6885,0.5930,0.0955,-0.0390,0.2394
outcome,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,100,0.6885,0.6238,0.0648,-0.1004,0.2236
outcome,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,100,0.6885,0.4859,0.2027,0.0552,0.3496
outcome,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,100,0.6885,0.6728,0.0158,-0.0920,0.1120
outcome,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,100,0.6885,0.4203,0.2683,0.1155,0.4059
outcome,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,104,0.6959,0.6725,0.0234,-0.0777,0.1340
outcome,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,104,0.6959,0.5766,0.1193,-0.0209,0.2885
outcome,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,104,0.6959,0.5696,0.1263,-0.1506,0.4076
outcome,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,104,0.6959,0.6468,0.0491,-0.0644,0.1686
