dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,873,362,4,1.0000,0,0.9656,0.0080,0.9800,0.5036,0.7978,0.8367,0.5762,0.6375,0.5018,0.8258,25.0305,2.0000,3.4364,0.0069,0.8751,0.7503,0.9805,0.9656,0.0034,0.3398,0.7626,0.9885
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,269,256,4,1.0000,0,0.1859,0.0001,0.4883,0.5000,0.9626,0.6142,0.8005,0.9486,0.5200,0.9659,18.8254,51.1737,81.4126,0.0000,0.2268,0.8141,0.4907,0.1896,0.0074,0.0051,0.0072,1.0000
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,940,378,4,1.0000,0,0.8883,0.0044,0.6764,0.5000,0.9265,0.8887,0.8701,0.8553,0.5024,0.9394,28.0702,32.3637,11.1702,0.0000,0.7957,0.7191,0.6766,0.8883,0.0043,0.1044,0.2167,0.9830
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,321,275,4,1.0000,0,0.4330,0.1115,0.7597,0.5664,0.8007,0.6393,0.6925,0.8513,0.5440,0.8438,16.4952,24.0286,56.6978,0.0685,0.6231,0.8349,0.7601,0.4361,0.0436,0.0621,0.5310,0.7290
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,931,426,4,1.0000,0,0.9656,0.1468,0.8803,0.5177,0.8930,0.8335,0.8913,0.8058,0.5006,0.8915,26.2172,11.9677,3.4372,0.0655,0.9151,0.7379,0.8808,0.9656,0.0011,0.0913,0.9503,0.5908
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,873,362,4,1.0000,0,0.9656,0.1196,0.6853,0.5249,0.8026,0.7926,0.7862,0.6893,0.5083,0.7816,23.5270,31.4714,3.4364,0.0481,0.8511,0.7652,0.6861,0.9656,0.0160,0.0865,0.7743,0.6781
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,269,256,4,1.0000,0,0.1859,0.0235,0.0200,0.5100,0.9380,0.6005,0.5600,0.8872,0.5100,0.9338,16.3458,98.0000,81.4126,0.0037,0.2268,0.8364,0.0223,0.1896,0.0037,0.1845,0.5301,0.9442
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,940,378,4,1.0000,0,0.8883,0.1506,0.9545,0.5485,0.9194,0.9020,0.7048,0.8660,0.5042,0.9186,22.8488,4.5507,11.1702,0.0862,0.8309,0.7713,0.9543,0.8883,0.0074,0.0722,0.8880,0.6266
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,321,275,4,1.0000,0,0.4330,0.3880,0.4075,0.8797,0.8725,0.6264,0.8761,0.8957,0.8868,0.8820,14.4374,59.2456,56.6978,0.4112,0.4050,0.8567,0.4081,0.4361,0.4174,0.0307,0.4522,0.5047
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,931,426,4,1.0000,0,0.9656,0.8719,0.9663,0.9593,0.9303,0.8988,0.9035,0.9029,0.8906,0.9169,23.0545,3.3734,3.4372,0.9495,0.9560,0.7701,0.9667,0.9656,0.9731,0.0537,0.1746,0.6638
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,873,362,4,1.0000,0,0.9656,0.8679,0.9592,0.8512,0.8512,0.8641,0.8584,0.8447,0.8512,0.8202,22.9988,4.0766,3.4364,0.9450,0.9450,0.7698,0.9588,0.9656,0.9450,0.0624,0.4658,0.6541
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,269,256,4,1.0000,0,0.1859,0.1949,0.2198,0.9409,0.9409,0.5868,0.9526,0.9486,0.9054,0.9367,14.1599,78.0244,81.4126,0.1822,0.1822,0.8587,0.2230,0.1896,0.1599,0.0602,0.5919,0.7026
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,940,378,4,1.0000,0,0.8883,0.8117,0.9014,0.9166,0.9160,0.8907,0.8893,0.9089,0.9184,0.9080,21.0944,9.8617,11.1702,0.8734,0.8723,0.7894,0.9011,0.8883,0.8766,0.0293,0.4524,0.6723
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,321,275,4,1.0000,0,0.4330,0.0619,0.9800,0.4931,0.7848,0.6291,0.5165,0.7371,0.4931,0.7695,14.7361,2.0000,56.6978,0.0654,0.5763,0.8536,0.9813,0.4361,0.0654,0.3808,0.3096,0.9875
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,931,426,4,1.0000,0,0.9656,0.0190,0.6223,0.4291,0.6910,0.7191,0.6608,0.6602,0.4291,0.7494,20.2663,37.7743,3.4372,0.0193,0.9001,0.7981,0.6230,0.9656,0.0193,0.1846,0.4699,0.9946
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,873,362,4,1.0000,0,0.9656,0.0379,0.5723,0.4499,0.7186,0.7093,0.6240,0.6721,0.4499,0.7144,19.6668,42.7732,3.4364,0.0367,0.8889,0.8041,0.5727,0.9656,0.0367,0.2414,0.5585,0.9885
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,269,256,4,1.0000,0,0.1859,0.0144,0.9800,0.5032,0.8381,0.6119,0.5114,0.7152,0.5032,0.8180,18.4013,2.0000,81.4126,0.0149,0.3494,0.8178,0.9814,0.1896,0.0149,0.8783,0.4416,0.9963
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,940,378,4,1.0000,0,0.8883,0.0151,0.6442,0.4923,0.7952,0.8348,0.7717,0.8017,0.4899,0.8366,17.6692,35.5841,11.1702,0.0149,0.9245,0.8234,0.6447,0.8883,0.0106,0.3122,0.8353,0.9894
