dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,5,6730,336,0.8893,1.0000,1.1245,0.0561
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,10,6730,673,0.8893,1.0000,1.1245,0.1124
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,20,6730,1346,0.8893,0.9993,1.1236,0.2247
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,30,6730,2019,0.8893,0.9970,1.1211,0.3363
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,5,6730,347,0.8893,1.0000,1.1245,0.0580
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,10,6730,704,0.8893,0.9929,1.1165,0.1168
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,20,6730,1364,0.8893,0.9912,1.1146,0.2259
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,30,6730,2020,0.8893,0.9881,1.1111,0.3335
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,5,6730,336,0.8893,0.8929,1.0040,0.0501
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,10,6730,673,0.8893,0.9183,1.0326,0.1033
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,20,6730,1346,0.8893,0.9220,1.0368,0.2074
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,30,6730,2019,0.8893,0.9267,1.0420,0.3126
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,5,6730,336,0.8893,0.9137,1.0274,0.0513
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,10,6730,673,0.8893,0.9391,1.0560,0.1056
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,20,6730,1346,0.8893,0.9510,1.0693,0.2139
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,30,6730,2019,0.8893,0.9495,1.0677,0.3203
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,5,1163,58,0.3173,0.7759,2.4453,0.1220
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,10,1163,116,0.3173,0.6983,2.2008,0.2195
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,20,1163,233,0.3173,0.6867,2.1643,0.4336
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,30,1163,349,0.3173,0.6390,2.0139,0.6043
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,5,1163,58,0.3173,0.3621,1.1412,0.0569
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,10,1163,116,0.3173,0.4052,1.2770,0.1274
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,20,1163,233,0.3173,0.3476,1.0957,0.2195
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,30,1163,349,0.3173,0.3324,1.0476,0.3144
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,5,1163,58,0.3173,0.4138,1.3042,0.0650
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,10,1163,116,0.3173,0.4828,1.5215,0.1518
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,20,1163,233,0.3173,0.4506,1.4203,0.2846
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,30,1163,349,0.3173,0.4642,1.4630,0.4390
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,5,1163,58,0.3173,0.3966,1.2498,0.0623
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,10,1163,116,0.3173,0.4569,1.4400,0.1436
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,20,1163,233,0.3173,0.4292,1.3527,0.2710
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,30,1163,349,0.3173,0.4069,1.2824,0.3848
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,5,1163,58,0.3173,0.7586,2.3910,0.1192
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,10,1163,116,0.3173,0.7155,2.2551,0.2249
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,20,1163,233,0.3173,0.6438,2.0290,0.4065
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,30,1163,349,0.3173,0.6074,1.9145,0.5745
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,5,2375,119,0.6703,0.7395,1.1032,0.0553
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,10,2375,238,0.6703,0.7857,1.1722,0.1175
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,20,2375,475,0.6703,0.8063,1.2029,0.2406
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,30,2375,712,0.6703,0.8076,1.2048,0.3612
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,5,2375,119,0.6703,0.7059,1.0531,0.0528
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,10,2375,238,0.6703,0.7059,1.0531,0.1055
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,20,2375,475,0.6703,0.7242,1.0804,0.2161
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,30,2375,712,0.6703,0.7360,1.0979,0.3291
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,5,2375,119,0.6703,0.6471,0.9653,0.0484
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,10,2375,238,0.6703,0.6597,0.9841,0.0986
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,20,2375,475,0.6703,0.6505,0.9705,0.1941
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,30,2375,712,0.6703,0.6643,0.9911,0.2971
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,5,2375,120,0.6703,0.9833,1.4670,0.0741
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,10,2375,239,0.6703,0.9833,1.4669,0.1476
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,20,2375,475,0.6703,0.9832,1.4667,0.2933
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,30,2375,712,0.6703,0.9663,1.4415,0.4322
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,5,2375,119,0.6703,0.9496,1.4166,0.0710
