dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,10,6482,648,0.9392,0.9537,1.0154,0.1015
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,20,6482,1296,0.9392,0.9560,1.0179,0.2035
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,30,6482,1945,0.9392,0.9573,1.0193,0.3058
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,5,6482,324,0.9392,0.9506,1.0121,0.0506
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,10,6482,648,0.9392,0.9398,1.0006,0.1000
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,20,6482,1296,0.9392,0.9421,1.0031,0.2006
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,30,6482,1945,0.9392,0.9419,1.0029,0.3009
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,5,6482,324,0.9392,0.9846,1.0483,0.0524
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,10,6482,648,0.9392,0.9799,1.0434,0.1043
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,20,6482,1296,0.9392,0.9815,1.0450,0.2089
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,30,6482,1945,0.9392,0.9815,1.0450,0.3136
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,5,6482,345,0.9392,0.9768,1.0400,0.0554
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,10,6482,652,0.9392,0.9831,1.0468,0.1053
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,20,6482,1305,0.9392,0.9847,1.0484,0.2111
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,30,6482,1946,0.9392,0.9830,1.0467,0.3142
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5,6604,330,0.9346,0.9333,0.9987,0.0499
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,6604,660,0.9346,0.9318,0.9970,0.0996
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,6604,1321,0.9346,0.9372,1.0028,0.2006
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,6604,1981,0.9346,0.9409,1.0068,0.3020
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,6604,330,0.9346,0.9182,0.9824,0.0491
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,6604,660,0.9346,0.9288,0.9938,0.0993
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,6604,1321,0.9346,0.9387,1.0044,0.2009
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,6604,1981,0.9346,0.9394,1.0052,0.3015
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,5,6604,330,0.9346,0.8879,0.9500,0.0475
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,10,6604,660,0.9346,0.8970,0.9598,0.0959
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,20,6604,1321,0.9346,0.9084,0.9720,0.1944
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,30,6604,1981,0.9346,0.9238,0.9884,0.2965
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5,6604,330,0.9346,0.9576,1.0246,0.0512
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,10,6604,660,0.9346,0.9545,1.0214,0.1021
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,20,6604,1321,0.9346,0.9538,1.0206,0.2041
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,30,6604,1981,0.9346,0.9531,1.0198,0.3059
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,6604,333,0.9346,0.9459,1.0122,0.0510
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,6604,682,0.9346,0.9501,1.0167,0.1050
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,6604,1334,0.9346,0.9543,1.0211,0.2063
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,6604,1990,0.9346,0.9538,1.0205,0.3075
