dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,30,3224,967,0.5416,0.6898,1.2737,0.3820
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5,2716,136,0.5567,0.7206,1.2944,0.0648
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,2716,272,0.5567,0.7243,1.3010,0.1303
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,2716,543,0.5567,0.6814,1.2240,0.2447
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,2716,815,0.5567,0.6847,1.2299,0.3690
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,2716,137,0.5567,0.9781,1.7570,0.0886
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,2716,273,0.5567,0.9853,1.7700,0.1779
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,2716,544,0.5567,0.9853,1.7699,0.3545
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,2716,815,0.5567,0.9791,1.7588,0.5278
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,2716,136,0.5567,0.8824,1.5850,0.0794
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,2716,272,0.5567,0.8456,1.5189,0.1521
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,2716,543,0.5567,0.8103,1.4556,0.2910
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,2716,815,0.5567,0.7828,1.4062,0.4220
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5,2716,136,0.5567,0.9853,1.7699,0.0886
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,10,2716,272,0.5567,0.9853,1.7699,0.1772
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,20,2716,543,0.5567,0.9724,1.7467,0.3492
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,30,2716,815,0.5567,0.9460,1.6993,0.5099
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,5,2716,136,0.5567,0.7500,1.3472,0.0675
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,10,2716,272,0.5567,0.7463,1.3406,0.1343
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,20,2716,543,0.5567,0.7127,1.2802,0.2560
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,30,2716,815,0.5567,0.7166,1.2872,0.3862
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,5,2371,119,0.2434,0.7059,2.9006,0.1456
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,10,2371,237,0.2434,0.6287,2.5834,0.2582
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,20,2371,474,0.2434,0.5823,2.3927,0.4783
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,30,2371,711,0.2434,0.5218,2.1442,0.6430
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,5,2286,114,0.2030,0.5702,2.8091,0.1401
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,10,2286,229,0.2030,0.5546,2.7323,0.2737
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,20,2286,457,0.2030,0.4814,2.3717,0.4741
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,30,2286,686,0.2030,0.4388,2.1617,0.6487
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,5,2192,110,0.1533,0.6273,4.0922,0.2054
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,10,2192,219,0.1533,0.5205,3.3960,0.3393
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,20,2192,438,0.1533,0.4361,2.8449,0.5685
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,30,2192,658,0.1533,0.3891,2.5381,0.7619
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,5,2192,110,0.1533,0.5909,3.8550,0.1935
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,10,2192,219,0.1533,0.5388,3.5151,0.3512
