dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-thought,6604,0.7816,0.7816,0.3952,-0.3864,0.5269,0.2931,0.7607,0.2813,1513,345,1097,3649
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-thought,3197,0.3819,0.6181,0.6053,-0.0128,0.5046,0.0786,0.9307,0.0729,96,137,1839,1125
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,SPLIT-thought,3304,0.3308,0.6692,0.5899,-0.0793,0.5078,0.2653,0.7503,0.2548,290,552,1659,803
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-thought,6790,0.8863,0.8863,0.5505,-0.3358,0.5804,0.5417,0.6192,0.5234,3260,294,478,2758
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,4765,0.5108,0.5108,0.7725,0.2617,0.7693,0.9178,0.6208,0.6544,2234,884,1447,200
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-thought,6482,0.7546,0.7546,0.7678,0.0133,0.6396,0.8914,0.3878,0.8229,4360,974,617,531
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,6604,0.7816,0.7816,0.7695,-0.0121,0.5977,0.9028,0.2926,0.8601,4660,1020,422,502
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-thought,3197,0.3819,0.6181,0.6537,0.0357,0.6182,0.4676,0.7687,0.3216,571,457,1519,650
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,SPLIT-thought,3304,0.3308,0.6692,0.7688,0.0996,0.7638,0.7493,0.7784,0.3962,819,490,1721,274
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-thought,6790,0.8863,0.8863,0.8622,-0.0242,0.6586,0.9221,0.3951,0.8860,5549,467,305,469
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,SPLIT-thought,3304,0.3308,0.6692,0.7064,0.0372,0.6571,0.5114,0.8028,0.3012,559,436,1775,534
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,4765,0.5108,0.5108,0.4770,-0.0338,0.4852,0.1085,0.8619,0.1230,264,322,2009,2170
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-thought,6482,0.7546,0.7546,0.3359,-0.4187,0.5052,0.1726,0.8378,0.1700,844,258,1333,4047
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-thought,6604,0.7816,0.7816,0.3142,-0.4674,0.5008,0.1695,0.8322,0.1691,875,242,1200,4287
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-thought,3197,0.3819,0.6181,0.6043,-0.0138,0.5001,0.0590,0.9413,0.0588,72,116,1860,1149
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,SPLIT-thought,3304,0.3308,0.6692,0.6550,-0.0142,0.4986,0.0366,0.9607,0.0384,40,87,2124,1053
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-thought,6790,0.8863,0.8863,0.2149,-0.6714,0.4617,0.1422,0.7811,0.1510,856,169,603,5162
