dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-action,3197,0.3819,0.6181,0.6237,0.0056,0.5168,0.0639,0.9696,0.0432,78,60,1916,1143
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-thought,3197,0.3819,0.6181,0.6053,-0.0128,0.5046,0.0786,0.9307,0.0729,96,137,1839,1125
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-mean,3197,0.3819,0.6181,0.6675,0.0494,0.6328,0.4857,0.7799,0.3216,593,435,1541,628
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3197,0.3819,0.6181,0.6497,0.0316,0.6230,0.5102,0.7358,0.3581,623,522,1454,598
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-action,3197,0.3819,0.6181,0.6719,0.0538,0.6374,0.4914,0.7834,0.3216,600,428,1548,621
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-thought,3197,0.3819,0.6181,0.6537,0.0357,0.6182,0.4676,0.7687,0.3216,571,457,1519,650
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-mean,3197,0.3819,0.6181,0.6124,-0.0056,0.4998,0.0229,0.9767,0.0231,28,46,1930,1193
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,3197,0.3819,0.6181,0.5837,-0.0344,0.5008,0.1499,0.8517,0.1489,183,293,1683,1038
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-action,3197,0.3819,0.6181,0.6284,0.0103,0.5209,0.0655,0.9762,0.0397,80,47,1929,1141
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-thought,3197,0.3819,0.6181,0.6043,-0.0138,0.5001,0.0590,0.9413,0.0588,72,116,1860,1149
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-mean,3304,0.3308,0.6692,0.7107,0.0415,0.5689,0.1500,0.9878,0.0578,164,27,2184,929
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3304,0.3308,0.6692,0.7730,0.1038,0.7133,0.5371,0.8896,0.2515,587,244,1967,506
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,SPLIT-action,3304,0.3308,0.6692,0.7418,0.0726,0.6151,0.2406,0.9896,0.0866,263,23,2188,830
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3304,0.3308,0.6692,0.6919,0.0227,0.5440,0.1070,0.9810,0.0481,117,42,2169,976
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3304,0.3308,0.6692,0.6689,-0.0003,0.5002,0.0018,0.9986,0.0015,2,3,2208,1091
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3304,0.3308,0.6692,0.6668,-0.0024,0.4991,0.0037,0.9946,0.0048,4,12,2199,1089
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3304,0.3308,0.6692,0.6692,-0.0000,0.5019,0.0073,0.9964,0.0048,8,8,2203,1085
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3304,0.3308,0.6692,0.6686,-0.0006,0.4998,0.0009,0.9986,0.0012,1,3,2208,1092
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-mean,3304,0.3308,0.6692,0.6292,-0.0400,0.5106,0.1601,0.8611,0.1459,175,307,1904,918
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3304,0.3308,0.6692,0.5975,-0.0717,0.4913,0.1775,0.8051,0.1892,194,431,1780,899
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,SPLIT-action,3304,0.3308,0.6692,0.6531,-0.0160,0.5176,0.1171,0.9181,0.0935,128,181,2030,965
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,SPLIT-thought,3304,0.3308,0.6692,0.5899,-0.0793,0.5078,0.2653,0.7503,0.2548,290,552,1659,803
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-mean,3304,0.3308,0.6692,0.7903,0.1211,0.7984,0.8225,0.7743,0.4231,899,499,1712,194
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3304,0.3308,0.6692,0.7927,0.1235,0.8004,0.8234,0.7775,0.4213,900,492,1719,193
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,SPLIT-action,3304,0.3308,0.6692,0.7742,0.1050,0.7836,0.8115,0.7558,0.4319,887,540,1671,206
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,SPLIT-thought,3304,0.3308,0.6692,0.7688,0.0996,0.7638,0.7493,0.7784,0.3962,819,490,1721,274
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-mean,3304,0.3308,0.6692,0.6849,0.0157,0.6251,0.4483,0.8019,0.2809,490,438,1773,603
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2322,0.2976,0.7024,0.6680,-0.0345,0.6611,0.6440,0.6781,0.4177,445,525,1106,246
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,SPLIT-action,3304,0.3308,0.6692,0.6653,-0.0039,0.5935,0.3815,0.8055,0.2564,417,430,1781,676
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,SPLIT-thought,3304,0.3308,0.6692,0.7064,0.0372,0.6571,0.5114,0.8028,0.3012,559,436,1775,534
