construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,343,0.8882,0.6064,0.2819,0.2247,0.3444
judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,343,0.8882,0.9261,-0.0379,-0.0668,-0.0099
judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,343,0.8882,0.7336,0.1547,0.0959,0.2162
judgment,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,490,0.9528,0.9290,0.0238,0.0003,0.0474
judgment,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,490,0.9528,0.6732,0.2796,0.2287,0.3342
judgment,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,490,0.9528,0.5641,0.3887,0.3335,0.4443
judgment,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,490,0.9528,0.9414,0.0114,-0.0106,0.0328
judgment,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,490,0.9528,0.7192,0.2336,0.1823,0.2850
violation,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,238,0.7685,0.7694,-0.0008,-0.0635,0.0691
violation,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,238,0.7685,0.6986,0.0699,-0.0135,0.1516
violation,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,238,0.7685,0.5429,0.2256,0.1324,0.3232
violation,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,238,0.7685,0.7372,0.0313,-0.0287,0.0973
violation,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,238,0.7685,0.5492,0.2193,0.1278,0.3134
violation,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,218,0.8386,0.8414,-0.0029,-0.0679,0.0541
violation,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,218,0.8386,0.6590,0.1795,0.0467,0.3058
violation,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,218,0.8386,0.5344,0.3042,0.1542,0.4482
violation,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,218,0.8386,0.8533,-0.0147,-0.0757,0.0430
violation,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,218,0.8386,0.4254,0.4132,0.2877,0.5320
violation,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,220,0.5774,0.7234,-0.1461,-0.2336,-0.0571
violation,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,220,0.5774,0.7138,-0.1364,-0.2679,0.0021
